param_count,model_size_mb,flops,params,training_memory_mb
863488,3.2939453125,6356268032,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'tanh', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.002650818710475903}",10754.8037109375
1418496,5.4111328125,10798380288,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'silu', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0033677824936598944}",10721.6474609375
363776,1.3876953125,2358828288,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'elu', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.0018520631922660598}",10705.5537109375
6586624,25.1259765625,16986709760,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'relu', 'pool_size_0': 3, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'elu', 'pool_size_1': 1, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0020815482751256695}",10508.3642578125
51344793,195.86484146118164,1185716889,"{'num_conv_layers': 2, 'conv1d_0_filters': 64, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 2, 'conv1d_1_act': 'tanh', 'pool_size_1': 2, 'pooling_type': 'flatten', 'num_dense_layers': 1, 'dense_0_units': 25, 'dense_0_dropout': 0.2, 'dense_0_act': 'none', 'learning_rate': 0.000607499758739365}",10358.366104125977
632064,2.4111328125,4505132288,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 256, 'conv1d_1_kernel_size': 2, 'conv1d_1_act': 'none', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.0017089129300442965}",10209.6474609375
4674373,17.831317901611328,11641769541,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'tanh', 'pool_size_0': 3, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'relu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 325, 'dense_0_dropout': 0.1, 'dense_0_act': 'relu', 'learning_rate': 0.0013399753955451175}",10146.161697387695
4471040,17.0556640625,11261897472,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'silu', 'pool_size_0': 3, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'gelu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0020053623501518365}",10142.5830078125
1222912,4.6650390625,4506032896,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 2, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 2, 'conv1d_1_act': 'elu', 'pool_size_1': 1, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.0017930188586331196}",10093.7822265625
920308,3.5106964111328125,2216362716,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'elu', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 500, 'dense_0_dropout': 0.0, 'dense_0_act': 'silu', 'learning_rate': 0.0008675316729683425}",10089.908996582031
