Time: 2025-07-17 11:04:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:04:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:04:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:04:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:04:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 128.90%
Time: 2025-07-17 11:04:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:04:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 99.90%
Time: 2025-07-17 11:05:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:05:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 63.00%
Time: 2025-07-17 11:05:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:05:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:05:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:05:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:05:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:05:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:05:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:05:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:05:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 128.00%
Time: 2025-07-17 11:05:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:05:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 80.00%
Time: 2025-07-17 11:05:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 11:05:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 82.90%
Time: 2025-07-17 11:05:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 128.90%
Time: 2025-07-17 11:05:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:05:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:05:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:05:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:06:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 108.90%
Time: 2025-07-17 11:06:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:06:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:06:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:06:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 128.90%
Time: 2025-07-17 11:06:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 59.00%
Time: 2025-07-17 11:06:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:06:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 107.90%
Time: 2025-07-17 11:06:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 126.90%
Time: 2025-07-17 11:06:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:06:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.00%
Time: 2025-07-17 11:06:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:06:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:06:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:06:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:06:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:06:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 126.90%
Time: 2025-07-17 11:06:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:06:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 11:06:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 24.00%
